,Unnamed: 0,LONGITUDE,LATITUDE,DATE_START,DATE_END,FLAG,EQ_NUM,SURFSKINTEMP,SURFAIRTEMP,TOTH2OVAP,TOTO3,TOTCO,TOTCH4,OLR_ARIS,CLROLR_ARIS,OLR_NOAA,MODIS_LST,LABEL_PREDICTION
0,Fold3.1375,170.5,-20.5,2010-07-13,2010-07-17,1,75,2,5,11,13,12,1,5,5,3,1,0
1,Fold3.1376,170.5,-20.5,2010-07-18,2010-07-22,1,75,9,5,11,13,7,1,12,12,8,1,1
2,Fold3.1377,170.5,-20.5,2010-07-23,2010-07-27,1,75,9,1,2,15,1,8,12,12,1,3,1
3,Fold3.1378,170.5,-20.5,2010-07-28,2010-08-01,1,75,2,2,10,3,9,10,9,9,9,3,1
4,Fold3.1379,170.5,-20.5,2010-08-02,2010-08-06,1,75,10,5,2,12,7,1,2,2,4,1,1
5,Fold3.1380,170.5,-19.5,2010-07-13,2010-07-17,1,75,10,5,2,13,12,1,10,10,9,3,0
6,Fold3.1381,170.5,-19.5,2010-07-18,2010-07-22,1,75,9,9,11,8,7,6,8,8,1,2,0
7,Fold3.1382,170.5,-19.5,2010-07-23,2010-07-27,1,75,9,7,1,11,2,2,1,1,3,1,0
8,Fold3.1383,170.5,-19.5,2010-07-28,2010-08-01,1,75,2,2,10,3,11,10,8,8,6,1,0
9,Fold3.1384,170.5,-19.5,2010-08-02,2010-08-06,1,75,10,5,2,8,4,1,3,3,4,3,0
10,Fold3.1385,170.5,-18.5,2010-07-13,2010-07-17,1,75,5,5,11,13,4,1,6,6,3,3,1
11,Fold3.1386,170.5,-18.5,2010-07-18,2010-07-22,1,75,4,10,11,8,8,6,11,11,7,3,0
12,Fold3.1387,170.5,-18.5,2010-07-23,2010-07-27,1,75,8,7,1,11,1,2,3,3,5,3,0
13,Fold3.1388,170.5,-18.5,2010-07-28,2010-08-01,1,75,10,2,10,1,9,10,11,11,6,3,0
14,Fold3.1389,170.5,-18.5,2010-08-02,2010-08-06,1,75,10,5,2,8,4,1,8,8,7,3,1
15,Fold3.1390,170.5,-17.5,2010-07-13,2010-07-17,1,75,1,1,2,9,4,1,6,6,3,3,0
16,Fold3.1391,170.5,-17.5,2010-07-18,2010-07-22,1,75,2,2,3,17,9,10,1,1,7,3,0
17,Fold3.1392,170.5,-17.5,2010-07-23,2010-07-27,1,75,9,9,2,12,10,6,12,12,5,3,1
18,Fold3.1393,170.5,-17.5,2010-07-28,2010-08-01,1,75,4,10,11,3,9,3,8,8,5,3,1
19,Fold3.1394,170.5,-17.5,2010-08-02,2010-08-06,1,75,10,5,11,9,15,1,5,5,3,3,1
20,Fold3.1395,170.5,-16.5,2010-07-13,2010-07-17,1,75,9,5,2,9,15,1,5,5,1,3,1
21,Fold3.1396,170.5,-16.5,2010-07-18,2010-07-22,1,75,2,2,3,1,9,10,3,3,5,3,0
22,Fold3.1397,170.5,-16.5,2010-07-23,2010-07-27,1,75,3,7,3,12,11,7,11,11,1,3,1
23,Fold3.1398,170.5,-16.5,2010-07-28,2010-08-01,1,75,10,10,11,3,9,6,8,8,5,3,1
24,Fold3.1399,170.5,-16.5,2010-08-02,2010-08-06,1,75,10,5,2,9,15,1,5,5,1,3,1
25,Fold3.1400,170.5,-15.5,2010-07-13,2010-07-17,1,75,9,1,5,9,15,1,10,10,5,3,0
26,Fold3.1401,170.5,-15.5,2010-07-18,2010-07-22,1,75,2,10,10,1,9,10,1,1,5,3,1
27,Fold3.1402,170.5,-15.5,2010-07-23,2010-07-27,1,75,2,2,12,8,11,10,11,11,5,3,1
28,Fold3.1403,170.5,-15.5,2010-07-28,2010-08-01,1,75,10,5,11,17,3,6,8,8,3,3,0
29,Fold3.1404,170.5,-15.5,2010-08-02,2010-08-06,1,75,10,4,9,13,15,1,7,7,1,3,1
30,Fold3.1405,169.5,-20.5,2010-07-13,2010-07-17,1,75,2,5,2,9,15,1,5,5,9,1,0
31,Fold3.1406,169.5,-20.5,2010-07-18,2010-07-22,1,75,5,6,12,13,8,6,4,4,8,1,0
32,Fold3.1407,169.5,-20.5,2010-07-23,2010-07-27,1,75,5,7,1,5,13,8,8,8,1,1,1
33,Fold3.1408,169.5,-20.5,2010-07-28,2010-08-01,1,75,10,2,10,3,3,3,9,9,3,1,0
34,Fold3.1409,169.5,-20.5,2010-08-02,2010-08-06,1,75,5,1,2,12,4,1,8,8,8,1,1
35,Fold3.1410,169.5,-19.5,2010-07-13,2010-07-17,1,75,5,5,2,13,12,1,8,8,3,3,0
36,Fold3.1411,169.5,-19.5,2010-07-18,2010-07-22,1,75,10,9,2,8,8,1,8,8,7,3,1
37,Fold3.1412,169.5,-19.5,2010-07-23,2010-07-27,1,75,5,7,1,11,1,8,12,12,1,1,1
38,Fold3.1413,169.5,-19.5,2010-07-28,2010-08-01,1,75,4,2,10,3,3,10,8,8,9,3,1
39,Fold3.1414,169.5,-19.5,2010-08-02,2010-08-06,1,75,10,5,2,8,4,1,8,8,2,4,1
40,Fold3.1415,169.5,-18.5,2010-07-13,2010-07-17,1,75,5,5,2,13,12,1,6,12,9,1,1
41,Fold3.1416,169.5,-18.5,2010-07-18,2010-07-22,1,75,1,5,11,8,8,6,6,6,7,1,1
42,Fold3.1417,169.5,-18.5,2010-07-23,2010-07-27,1,75,3,7,1,11,1,8,8,8,1,1,0
43,Fold3.1418,169.5,-18.5,2010-07-28,2010-08-01,1,75,4,2,10,3,9,10,11,11,4,4,1
